昵称,时间,评论内容
CCCCathy人依炮弹,2020-12-04 10:34:00,好可爱
程子居居Clover,2020-12-04 10:32:00,好萌啊
共青团中央,2020-12-04 10:38:00,太棒啦~
一只酷咸鱼,2020-12-04 10:34:00,敲级可爱
11月10日天晴,2020-12-04 10:38:00,好可爱呀，好像在说“给咱中国点个赞👍”        
共青团中央,2020-12-04 11:07:00,有画面感了
一只呆呆不秃头,2020-12-04 10:53:00,哇，可爱又霸气        
YistyKim,2020-12-04 10:32:00,中国人民蹦起来啦～
somebodysosokinn,2020-12-04 10:33:00,哈哈哈哈哈哈哈好可爱呀        
转学湘北的一颗大钟,2020-12-04 10:32:00,哈哈哈哈哈哈好乖哦        
今日份草莓酱·,2020-12-04 10:33:00,哈哈哈弹出来感觉好可爱啊        
猪猪小兔子唯爱宁哥,2020-12-04 10:33:00,我爱你五星红旗
乌鸦校尉,2020-12-04 10:53:00,配个音～duang~        
善良姨妈的秘密,2020-12-04 10:32:00,没有实拍图嘛
多次婉拒杨超越,2020-12-04 10:32:00,可爱        
成都共青团,2020-12-04 12:50:00,可可爱爱！
主页君,2020-12-04 10:34:00,这是在给全中国的人民点赞
陪伴你祝福你,2020-12-04 10:50:00,好可爱啊！感觉咱们的国旗是迫不及待跳出来的，哈哈😄        
哎呦嘿哈吼,2020-12-04 10:36:00,可爱爆棚
猫想问,2020-12-04 14:11:00,你的小可爱突然出现        
飞翔的虎兔,2020-12-04 10:40:00,从过去的100年，到未来的100年，世界历史运动的中心主题就是中华民族的崛起，以及东方文明的伟大复兴。这是一条新的长征路，但我们终将冲破一切障碍与险阻：正义的事业，是任何敌人也攻不破的！中国人民的不屈不挠的努力，必将稳步地达到自己的目的！我们的目的一定要达到！我们的目的一定能够达到！        
卖萌的零食工,2020-12-04 17:53:00,可可爱爱🔥🔥 🔥  
罗幕轻寒--luck,2020-12-04 10:52:00,最好看的国旗🇨🇳        
没有变过的让我想一想,2020-12-04 10:48:00,历史性的时刻
waiting-喵,2020-12-04 11:58:00,萌到了
侃侃不加糖,2020-12-04 11:19:00,可爱可爱
95页第三段,2020-12-04 11:03:00,欢喜！！！最美🇨🇳        
不完美小孩8688,2020-12-04 10:47:00,好可爱，萌萌哒
霖霖子008,2020-12-04 10:46:00,敲可爱
你在几月来,2020-12-04 10:38:00,好可爱🇨🇳～        
怎么可能不会吃胖啊,2020-12-04 12:42:00,月球车：嘿！看看我的国旗～        
君不见可不行,2020-12-04 10:32:00,在？抽个月球车，或者月球土
Bo松new_here_,2020-12-04 12:07:00,哈哈，过于萌\(//∇//)\        
世界是一个源,2020-12-04 11:07:00,可可爱爱
半罐奶糕,2020-12-04 10:42:00,咋这么可爱呢哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈        
木木涵意,2020-12-04 12:47:00,真可愛        
成毅哥哥的腿毛,2020-12-04 11:16:00,美丽国旗
皮皮侠呀i,2020-12-04 10:38:00,这个可爱🤓        
小臧是个小太阳a,2020-12-04 10:37:00,这也太可爱了v👏👏        
OH_凯yu,2020-12-04 15:25:00,叉会腰，可把自己厉害坏了🇨🇳        
七味2011,2020-12-05 10:31:00,这个秀国旗的动作太可爱了！        
我是秤砣英英子,2020-12-05 07:33:00,鲜艳的红旗。
很喜歡LYX的Chloe,2020-12-05 00:01:00,棒棒哒
4029舒心,2020-12-04 22:46:00,可可爱爱        
不想鸽鸽的鸽,2020-12-04 19:59:00,优！！        
韩锋喜欢理查德米勒,2020-12-04 19:28:00,不如在月球上写几个字“核心价值观”，那不是更牛了        
璇王座护卫,2020-12-04 19:07:00,见到嫦娥了吗
